English,Deutsch
eat,essen
need,brauchen
think,denken
Traffic Light,die Ampel
have,haben
go,gehen
love,lieben
fall,fallen
try,versuchen
bake,backen
Time,die Zeit
Man,der Mann
Hand,die Hand
Day,der Tag
Road,der Weg
Eye,das Auge
Thing,das Ding
Head,der Kopf
Year,das Jahr
Room,das Zimmer
Door,die Tür
Woman,die  Frau
Face,das Gesicht
Mother,die Mutter
Nation,die Nation
Night,die Nacht
House,das Haus
Father,der Vater
Life,das Leben
Back,der Rücken
Voice,die Stimme
Girl,das Mädchen
Place,der Ort
Boy,der Junge
Car,das Auto
Page,die Seite
Arm,der Arm
Child,das Kind
Word,das Wort
Moment,der Moment
Hair,die Haare
Foot,der Fuß
Water,das Wasser
Light,das Licht
World,die Welt
Name,der Name
Friend,der Freund
Window,das Fenster
Body,der Körper
Table,der Tisch
change,ändern
wild,wild
Address,die Adresse
do,tun
believe,glauben
study,studieren
learn,lernen
take,nehmen
practice,üben
put,legen
Morning,der Morgen
Bed,das Bett
Wall,die Mauer
Street,die Straße
School,die Schule
Air,die Luft
Floor,der Boden
Hour,die Stunde
End,das Ende
Family,die Familie
speak,sprechen
Kind,die Art
Minute,die Minute
Story,die Geschichte
God,der Gott
Week,die Woche
Hello,Hallo
Shoulder,die Schulter
Part,der Teil
Mind,der Geist
Book,das Buch
Finger,der Finger
Mouth,der Mund
hundred,hundert
Glass,das Glas
Tree,der Baum
Sound,der Klang
Emergency,der Notfall
Wife,die Ehefrau
Heart,das Herz
Money,das Geld
Phone,das Telefon
Appearance,das Aussehen
Leg,das Bein
Chair,der Stuhl
Office,das Büro
Brother,der Bruder
Question,die Frage
City,die Stadt
Month,der Monat
work,arbeiten
hope,hoffen
suchen,look for
run,rennen
literature,die Literatur
make,machen
Artist,der Künstler
see,sehen
give,geben
fly,fliegen
Baby,das Baby
Habit,die Angewohnheit
Dog,der Hund
ugly,hässlich
Idea,die Idee
Kitchen,die Küche
Lottery,die Lotterie
Son,der Sohn
Occupation,der Beruf
Paper,das Papier
Sister,die Schwester
Smile,das Lächeln
October,der Oktober
Thought,der Gedanke
Love,die Liebe
easy,leicht
Death,der Tod
honest,ehrlich
Toothpaste,die Zahnpasta
Fire,das Feuer
Step,der Schritt
Blood,das Blut
Fact,die Tatsache
Breath,der Atem
Lip,die Lippe
Son,die Sonne
Building,das Gebäude
Number,die Nummer
Husband,der Ehemann
Parents,die Eltern
Corner,die Ecke
Problem,das Problem
Mouse,die Maus
Daughter,die Tochter
Hairdryer,der Haartrockner
Hell,die Hölle
Visa,das Visum
sad,traurig
sky,der Himmel
Box,die Kiste
open,öffnen
read,lesen
visit,besuchen
forget,vergessen
live,leben
call,anrufen
to be allowed,dürfen
stand,stehen
wish,wünschen
to be interested in,sich interessieren
Person,die Person
Reason,der Grund
right,rechts
Skin,die Haut
lazy,faul
Pilot,der Pilot
piece,das Stück
doctor,der Arzt
weak,schwach
Cake,der Kuchen
Picture,das Bild
Style,der Stil
Ear,das Ohr
Visitor,der Besucher
Lady,die Dame
Neck,der Hals
Wind, der Wind
Disk,der Schreibtisch
Weapon,die Waffe
Stone,der Stein
Coffee,der Kaffee
ship,das Schiff
Earth,die Erde
Hairdresser,der Friseur
Horse,das Pferd
Field,das Feld
War,der Krieg
Afternoon,der Nachmittag
sixth,sechste
strict,streng
Evening,der Abend
Letter,der Brief
Bar,die Bar
Dream,der Traum
Furniture,das Möbel
Picnic,das Picknick
Game,das Spiel
Summer,der Sommer
slim,schlank
Silence,die Stille
know,wissen
buy,kaufen
go for a walk,spazieren gehen
reside,wohnen
lose,verlieren
dance,tanzen
hit,schlagen
tell,erzählen
want,wollen
happen,passieren
Ash,die Asche
Rock,der Fels
Power,die Macht
Clothes,die Kleider
Wednesday,der Mittwoch
smell,riechen
music,die Musik
seventh,siebte
Pocket,die Tasche
Dinner,das Abendessen
Hall,die Halle
Pain,der Schmerz
Age,das Alter
River,der Fluss
Chance,die Chance
Nose,die Nase
Shadow,der Schatten
Police,die Polizei
Memory,das Gädchtnis
Color,die Farbe
Knee,das Knie
Wood,das Holz
Shirt,das Hemd
Party,die Party
Country,das Land
Truck,der Lastwagen
Tooth,der Zahn
Bill,die Rechnung
Scene,die Szene
Happy,glücklich
Star,der Stern
Bird,der Vogel
Bedroom,das Schlafzimmer
Uncle,der Onkel
Butcher,der Metzger
Group,die Gruppe
Truth,die Wahrheit
Difficulty,die Schwierigkeit
Crowd,die Menge
Train Station,der Bahnhof
find,finden
bring,bringen
clean,putzen
repeat,wiederholen
enjoy,genießen
stay,bleiben
occur,geschehen
sing,singen
hang,aufhängen
win,gwinnen
Tear,die Träne
Class,die Klasse
Sea,das Meer
Animal,das Tier
Sister,die Schwester
Feeling,das Gefühl
Store,das Geschäft
Mountain,der Berg
News,die Nachrichten
Shoe,der Schuh
Cat,die Katze
Screen,der Bildschirm
Bottle,die Flasche
Six,sechs
Product,das Product
Cheek,die Wange
Student,der Student
Ball,der Ball
sometimes,manchmal
Hill,der Hügel
Company,das Unternehmen
Church,die Kirche
Rain,der Regen
Suit,der Anzug
one,eins
Direction,die Richtung
recycle,recyceln
shy,schüchtern
Middle,die Mitte
Answer,die Antwort
Burger,der Burger
Hospital,das Krankenhaus
Camera,die Kamera
Dress,das Kleid
Card,die Karte
Roommate,der Mitbewohner
Mayonnaise,die Mayonnaise
Lion,der Löwe
new,neu
Machine,die Maschine
hurt,schmerzen
sleep,schlafen
explain,erklären
wash,waschen
write,schreiben
brave,mutig
wake up,aufwachen
Monday,der Montag
play,spielen
sell,verkaufen
Distance,die Entfernung
Area,das Gebiet
February,der Feburar
Ice cream,das Eis
Snow,der Schnee
Note,die Notiz
Mirror,der Spiegel
King,der König
Fear,die Angst
March,der März
Hole,das Loch
possible, möglich
free trade,der Freihandel
conversation,das Gespräch
Boat,das Boot
System,das System
Care,die Pflege
difficult,schwierig
Movie,der Film
Bone,der Knochen
polite,höflich
Captain,der Kapitän
Aunt,die Tante
Darkness,die Dunkelheit
Cocktail,der Cocktail
Beverage,das Getränk
Hotel,das Hotel
beautiful,schön
Stairs,die Treppe
Donkey,der Esel
Rose,die Rose
Billion,die Milliarde
Hat,der Hut
Gold,das Gold
Cigarette,die Zigarette
Cloud,die Wolke
Soap,die Seife
Driver,der Fahrer
Cup,die Tasse
Thursday,der Donnerstag
like,mögen
steal,stehlen
cry,weinrn
sit,sitzen
must,müssen
drive,fahren
carry,tragen
Sunday,der Sonntag
earn,verdienen
mean,bedeuten
April,der April
similar,ähnlich
key,der Schlüssel
Computer,der Computer
Flower,die Blume
Ketchup,das Ketchup
Bathroom,das Badezimmer
Metal,das Metall
Moon,der Mond
Song,das Lied
Soldier,der Soldat
Radio,das Radio
Million,die Million
Wave,die Welle
Plan,der Plan
Jigsaw puzzle,das Puzzle
Fish,der Fisch
Garden,der Garten
Train,der Zug
Shop,der Laden
Policeman,der Polizist
Art,die Kunst
Beer,das Bier
North,der Norden
Island,die Insel
Bus,der Bus
Musician,der Musiker
Noise,das Geräuch
Critical,kritisch
Park,der Park
South,der Süden
Pair,das Paar
together,zusammen
Plate,der Teller
Jacket,die Jacke
Foreigner,der Ausländer
ten,zehn
Grass,das Gras
Allergy,die Allergie
first,erste
close,schließen
pay,bezahlen
follow,folgen
generous,grußzügig
white,weiß
Fuel,der Kraftstoff
recommend,empfehlen
come,kommen
ask,fragen
create,schaffen
Sleep,der schlaf
Brain,das Gehirn
Café,das Cafe
Trip,der Ausflug
twenty,zwanzig
knife,das Messer
zero,null
message,die Nachricht
Sauce,die Soße
Teacher,der Lehrer
windy,windig
Village,das Dorf
Winter,der Winter
popular,beliebt
Law,das Gesetz
Coal,die Kohle
Bank,die Bank
Team,das Team
fast,schnell
Singer,der Sänger
Stomach,der Magen
send,schicken
West,der Westen
Lunch,das Mittagessen
Poster,das Poster
aggressive,aggressiv
Soul,die Seele
Leaf,das Blatt
show,zeigen
say,sagen
Guitar,die Gitarre
Plastic,der Kunststoff
Hammer,der Hammer
Beach,der Strand
President,der Präsident
Shape,die Form
smoke,riechen
Wheel,das Rad
Silver,das Silber
Roof,das Dach
thank,danken
dirty,schmutzig
watch,gucken
swim,schwimmen
use,benutzen
ride a bike,Rad fahren
kill,töten
apologize,sich entschuldigen
cut,schneiden
marry,heiraten
weight,das Gewicht
Tongue,die Zunge
Tea,der Tee
slow,langsam
Angle,der Winkel
cheap,billig
Spider,die Spinne
Circle,der Kreis
Spring,der Frühling
expensive,teuer
rich,reich
Member,das Mitglied
Swimmingpool,das Schwimmbecken
Calendar,der Kalender
Tomato,die Tomate
Lake,der See
Breast,die Brust
Surprise,die Überraschung
Perfume,das Parfüm
small,klein
poor,arm
big,groß
Language,die Sprache
Bridge,die Brücke
Dust,det Staub
Mustache,der Schnurrbart
Wine,der Wein
Boot,der Stiefel
boring,langweilig
Flood,das Hochwasser
spicy,pikant
Plane,das Flugzeug
wide,bereit
Information,die Information
Grandmother,die Großmutter
Wing,der Flügel
Sausage,die Wurst
Early,früh
Master,der Meister
Earthquake,das Erdbeben
Biscuit,der Keks
Headache,der Kopfschmerzen
chat,chatten
Lemonade,die Limonade
attack,angreifen
invent,erfinden
fall in love,sich verlieben
catch,fangen
Abroad,das Ausland
Tobacco,der Tabak
unhealthy,ungesund
Autumm,der Herbst
Guest,der Gast
Experience,das Erlebnis
Joke,der Witz
Sand,der Sand
Fist,die Faust
fourth,vierte
Expert,der Experte
Wedding,die Hochzeit
Appointment,der Termin
Nature,die Natur
Planet,R Planet
Cousin,der Cousin
guess/ advice, raten
Meat,das Fleisch
better,besser
App,die App
Newspaper,die Zeitung
remember,sich erinnern
Human,der Mensch
strong,stark
Shopping Center,das Einkaufszentrum
Grandfather,der Großvater
Football,der Fußball
Secret,das Geheimnis
Beauty,die Schönheit
why,warum
Bell,die Glocke
People,die Leute
draw,zeichnen
List,die Liste
Level,das Niveau
Date,das Datum
important,wichtig
Difference,der Unterschied
Taxi,das Taxi
Giraffe,die Giraffe
cold,kalt
TV,der Fernseher
awesome,toll
vaccinate,impfen
Parrot,der Papagei
bad,schlecht
Friday,der Freitag
undress,sich ausziehen
Costume,der Kostüm
Jewelery,der Schmuck
Saturday,der Samstag
Solution,die Lösung
Forest,der Wald
Size,die Größe
Sentence,der Satz
Marriage,die Ehe
Forehead,die Stirn
Storm,der Sturm
purple,violett
Salad,der Salat
equal,gleich
Neighbor,der Nachbar
Photo,das Foto
only,nur
alone,allein
Nurse,die Krankenschwester
Baby carriage,der Kinderwagen
Communication,die Kommunikation
Sunset,der Sonnenuntergang
Ceiling,die Decke
Engine,der Motor
Gift,das Geschenk
Restaurant, das Restaurant
Painter, der Maler
foggy,neblig
Army,die Armee
Effort,die Bemühung
East,der Osten
Agent,der Agent
Future,die Zukunft
Pant,die Hose
Leather,das Leder
Flight,der Flug
Gender,das Geschlecht
Sleeping bag,der Schlafsack
red,rot
Mobile,das Handy
Egg,das Ei
Chin,das Kinn
Vegetable,das Gemüse
snow,schneien
Detail,das Detail
Contract,der Vertrag
Waiter,der Kellner
Moonlight,das Mondlicht
Fox,der Fuchs
Document,das Dokument
argue,streiten
freeze,frieren
what,was
hesitate,zögern
fold,falten
Coin,die Menüze
Balcony,der Balkon
Farm,der Bauernhof
Coffin,der Sarg
Golf,das Golf
Lawyer,der Anwalt
Magazine,die Zeitschrift
Tourist,der Tourist
Stadium,das Stadion
Ambulance,der Krankenwagen
Effect,der Effekt/
Dance,der Tanz
Vision,die Vision
Ghost,das Gespenst
Concert,das Konzert
Character,der Charakter
Gym,das Fitnessstudio
who,wer
Tiger,der Tiger
Breakfast,das Frühstück
Adventure,das Abenteuer
Luck,das Glück
yesterday,gestern
wrong,falsch
Tuesday,der Dienstag
Professor,der Professor
hate,hassen
Mistake,der Fehler
University,die Universität
Ocean,der Ozean
Century,das Jahrhundert
Honey,der Honig
when,wenn
Bowl,die Schale/
Frog,der Frosch
Fence,der Zaun
Rule,die Regel
sunny,sonnig
Anger,die Wut
Yoghurt,der Joghurt
betray,verraten
creative,kreativ
married,verheiratet
angry,wütend
religious,religiös
scream,schreien
forgive,verzeihen
Universe,das Universum
smile,lächeln
five,fünf
Accident,der Unfall
Weather,das Wetter
Decision,die Entscheidung
Angel,der Engel
Strength,die Stärke
Chicken,das Huhn
Material,das Material
Wound,die Wunde
Wrist,das Handgelenk
where,wo
Hip,die Hüfte
Government,die Regierung
Childhood,die Kindheit
Queen,die Königin
December,der Dezember
Tail,der Schwanz
rent,meiten
Flame,die Flamme
Martial Arts,die Kampfkünste
Belt,der Gürtel
build,bauen
Energy,die Energie
green,grün
Quarter,das Viertel
Enemy,der Feind
practical,praktisch
Entrance,der Eingang
Library,die Bibliothek
which,welche
Peace,der Frieden
Opinion,die Meinung
June,der Juni
Horror,der Horror
Health,die Gesundheit
simple,einfach
Muscle,der Muskel
Painting,das Gemälde
Curtain,die Gardine
how,wie
Manager,der Manager
August,der August
climb,steigen/ klettern
various,verschieden
push,drücken
deep,tief
measure,messen
nothing,nichts
Airport,der Flughafen
imagine,sich vorstellen
Hero,der Herd
Wolf,der Wolf
Tent,der Zelt
T-shirt,das T-shirt
Clock,die Uhr
Passenger,der Passagier
Tape measure,das Maßband
Carpet,der Teppich
Eraser,der Radiergummi
drink,trinken
Traffic,der Verkehr
girlfriend,die Frelundin
Beard,der Bart
how often?,wie oft?
Weekend,das Wochenende:)
how many?,wie viele?
Elevator,der Aufzug
Birthday,der Geburtstag
lemon,die Zitrone
10^3,tausend
long,lang
Eyebrow,die Augenbraue
pessimistic,pessimistisch
Speed,die Geschwindigkeit
Intention,die Absicht
Skirt,der Rock
Square,das Quadrat
Microscope,das Mikroskop
Article,der Artikel
Account,das Konto
Tower,der Turm
Magic,die Magie
Snowman,der Schneeman
good,gut
Skull,der Schädel
Sandwich,der Sandwich
Method,die Methode
Sword,das Schwert
Stick,der Stock
File,die Datei
Bread,das Brot
